time,s1.x,s1.y,s2.x,s2.y,scom.x,scom.y,v1.x,v1.y,v2.x,v2.y,vcom.x,vcom.y,p1.x,p1.y,p2.x,p2.y,p.x,p.y,w1,w2,L1,L2,L,E1,E2,E
 0.007000,0.007001,0.010000,0.485998,0.000000,0.246500,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.007100,0.007101,0.010000,0.485798,0.000000,0.246450,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.007200,0.007201,0.010000,0.485598,0.000000,0.246400,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.007300,0.007301,0.010000,0.485398,0.000000,0.246350,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.007400,0.007401,0.010000,0.485198,0.000000,0.246300,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.007500,0.007501,0.010000,0.484998,0.000000,0.246250,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.007600,0.007601,0.010000,0.484798,0.000000,0.246200,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.007700,0.007701,0.010000,0.484598,0.000000,0.246150,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.007800,0.007801,0.010000,0.484398,0.000000,0.246100,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.007900,0.007901,0.010000,0.484198,0.000000,0.246050,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.008000,0.008001,0.010000,0.483998,0.000000,0.246000,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.008100,0.008101,0.010000,0.483798,0.000000,0.245950,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.008200,0.008201,0.010000,0.483598,0.000000,0.245900,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.008300,0.008301,0.010000,0.483398,0.000000,0.245850,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
 0.008400,0.008401,0.010000,0.483198,0.000000,0.245800,0.005000,1.000000,0.000000,-2.000000,0.000000,-0.500000,0.000000,0.025400,0.000000,-0.050800, 0.000000, -0.025400,  0.000000,  3.000000, -5.000000, -0.000226, -0.000046, -0.000273,  0.012742,  0.050916,  0.063658
